Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-02-25;ARS Centro;2240.0;2116.0;124.0;17.0
2017-02-25;ARS Alentejo;852.0;794.0;58.0;9.0
2017-02-26;ARS Centro;1827.0;1827.0;0.0;22.0
2017-02-28;ARS Lisboa e Vale do Tejo;1038.0;1038.0;0.0;30.0
2017-03-01;ARS Lisboa e Vale do Tejo;31466.0;13832.0;17634.0;68.0
2017-03-02;ARS Algarve;4792.0;2379.0;2413.0;15.0
2017-03-04;ARS Centro;2118.0;2022.0;96.0;22.0
2017-03-04;ARS Alentejo;798.0;718.0;80.0;8.0
2017-03-06;ARS Norte;64695.0;35299.0;29396.0;74.0
2017-03-09;ARS Lisboa e Vale do Tejo;29211.0;11617.0;17594.0;42.0
2017-03-10;ARS Algarve;3894.0;1952.0;1942.0;5.0
2017-03-11;ARS Norte;2801.0;2651.0;150.0;19.0
2017-03-11;ARS Centro;2124.0;2029.0;95.0;16.0
2017-03-11;ARS Algarve;419.0;415.0;4.0;2.0
2017-03-12;ARS Centro;1810.0;1793.0;17.0;10.0
2017-03-12;ARS Alentejo;720.0;661.0;59.0;4.0
2017-03-13;ARS Norte;62950.0;33695.0;29255.0;67.0
2017-03-15;ARS Norte;54213.0;27031.0;27182.0;57.0
2017-03-15;ARS Centro;23622.0;12748.0;10874.0;30.0
2017-03-16;ARS Norte;52150.0;25639.0;26511.0;52.0
2017-03-16;ARS Alentejo;7871.0;4280.0;3591.0;11.0
2017-03-17;ARS Centro;18247.0;10682.0;7565.0;29.0
2017-03-17;ARS Algarve;3832.0;2086.0;1746.0;4.0
2017-03-19;ARS Lisboa e Vale do Tejo;1345.0;1345.0;0.0;5.0
2017-03-20;ARS Centro;26483.0;14996.0;11487.0;40.0
2017-03-20;ARS Alentejo;8837.0;4866.0;3971.0;22.0
2017-03-21;ARS Centro;24629.0;13062.0;11567.0;23.0
2017-03-21;ARS Lisboa e Vale do Tejo;32336.0;12840.0;19496.0;30.0
2017-03-22;ARS Norte;51767.0;25573.0;26194.0;53.0
2017-03-22;ARS Centro;22547.0;11879.0;10668.0;40.0
2017-03-23;ARS Lisboa e Vale do Tejo;28461.0;11005.0;17456.0;47.0
2017-03-24;ARS Norte;39991.0;21172.0;18819.0;66.0
2017-03-24;ARS Alentejo;6010.0;3196.0;2814.0;12.0
2017-03-27;ARS Norte;60614.0;32279.0;28335.0;86.0
2017-03-27;ARS Lisboa e Vale do Tejo;32897.0;13726.0;19171.0;68.0
2017-03-28;ARS Centro;24231.0;12962.0;11269.0;33.0
2017-03-28;ARS Algarve;4839.0;2414.0;2425.0;5.0
2017-03-31;ARS Norte;41930.0;21811.0;20119.0;33.0
2017-03-31;ARS Centro;18205.0;10440.0;7765.0;21.0
2017-03-31;ARS Algarve;3548.0;1855.0;1693.0;4.0
2017-04-01;ARS Norte;2689.0;2559.0;130.0;18.0
2017-04-02;ARS Lisboa e Vale do Tejo;1404.0;1404.0;0.0;0.0
2017-04-03;ARS Norte;61224.0;33011.0;28213.0;56.0
2017-04-03;ARS Alentejo;8455.0;4704.0;3751.0;5.0
2017-04-04;ARS Alentejo;8856.0;4489.0;4367.0;12.0
2017-04-08;ARS Alentejo;760.0;712.0;48.0;1.0
2017-04-12;ARS Centro;21225.0;11836.0;9389.0;19.0
2017-04-13;ARS Centro;19381.0;10544.0;8837.0;20.0
2017-04-15;ARS Lisboa e Vale do Tejo;1892.0;1860.0;32.0;0.0
2017-04-15;ARS Algarve;334.0;331.0;3.0;4.0
2017-04-16;ARS Norte;1504.0;1504.0;0.0;9.0
2017-04-18;ARS Alentejo;8671.0;4574.0;4097.0;8.0
2017-04-19;ARS Lisboa e Vale do Tejo;30893.0;12529.0;18364.0;0.0
2017-04-20;ARS Centro;23598.0;12770.0;10828.0;19.0
2017-04-21;ARS Norte;44361.0;23781.0;20580.0;26.0
2017-04-21;ARS Lisboa e Vale do Tejo;25786.0;10646.0;15140.0;0.0
2017-04-23;ARS Norte;2130.0;2130.0;0.0;13.0
2017-04-23;ARS Lisboa e Vale do Tejo;1364.0;1364.0;0.0;0.0
2017-04-24;ARS Norte;52196.0;30404.0;21792.0;22.0
2017-04-24;ARS Centro;21468.0;12977.0;8491.0;32.0
2017-04-25;ARS Algarve;310.0;240.0;70.0;4.0
2017-04-27;ARS Centro;22814.0;12936.0;9878.0;13.0
2017-04-28;ARS Centro;17293.0;10433.0;6860.0;13.0
2017-04-28;ARS Algarve;3869.0;2028.0;1841.0;1.0
2017-04-29;ARS Algarve;371.0;293.0;78.0;2.0
2017-05-01;ARS Norte;2320.0;2320.0;0.0;4.0
2017-05-01;ARS Alentejo;846.0;780.0;66.0;3.0
2017-05-02;ARS Lisboa e Vale do Tejo;34010.0;15528.0;18482.0;20.0
2017-05-03;ARS Norte;53024.0;29540.0;23484.0;25.0
2017-05-03;ARS Alentejo;8995.0;5143.0;3852.0;10.0
2017-05-05;ARS Lisboa e Vale do Tejo;21792.0;9688.0;12104.0;17.0
2017-05-07;ARS Alentejo;640.0;603.0;37.0;1.0
2017-05-08;ARS Lisboa e Vale do Tejo;37927.0;16814.0;21113.0;19.0
2017-05-08;ARS Alentejo;9913.0;5405.0;4508.0;6.0
2017-05-09;ARS Algarve;5296.0;2632.0;2664.0;10.0
